system:index,Aerosol Index,date,.geo
20181122T083018_20181122T090738,-0.8302566433537797,2018-11-22T08:30:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181122T083518_20181122T090828,,2018-11-22T08:35:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181123T081018_20181123T084806,-1.1531519985630523,2018-11-23T08:10:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181123T081518_20181123T084847,-1.1532151536090487,2018-11-23T08:15:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181124T075518_20181124T083141,-1.3807795374640737,2018-11-24T07:55:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181125T073518_20181125T081246,-0.8952344094444449,2018-11-25T07:35:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181126T071518_20181126T075348,-0.35778523223977376,2018-11-26T07:15:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181126T085518_20181126T093406,,2018-11-26T08:55:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181127T070018_20181127T073447,,2018-11-27T07:00:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181127T084018_20181127T091521,-0.7879961744540251,2018-11-27T08:40:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181128T082018_20181128T085618,-1.0519601621492642,2018-11-28T08:20:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181129T080018_20181129T083621,-1.0519390653845422,2018-11-29T08:00:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181130T074018_20181130T081801,-1.1628466400521589,2018-11-30T07:40:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181201T072018_20181201T080158,,2018-12-01T07:20:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181201T072518_20181201T080323,-0.6184715247019383,2018-12-01T07:25:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181202T070518_20181202T074109,,2018-12-02T07:05:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181202T084518_20181202T092103,-0.4603388351664389,2018-12-02T08:45:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181203T082518_20181203T090303,-0.6023419944255988,2018-12-03T08:25:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181204T080518_20181204T084343,-0.9074360128085321,2018-12-04T08:05:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181204T081018_20181204T084419,,2018-12-04T08:10:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181206T072628_20181206T080545,,2018-12-06T07:26:22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181206T073128_20181206T080643,-1.1967551372565621,2018-12-06T07:31:22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181207T071128_20181207T074655,-0.6425610578733716,2018-12-07T07:11:23,"{""type"":""MultiPoint"",""coordinates"":[]}"
