system:index,NO2_Density,date,.geo
20181122T083018_20181122T091500,8.743181887233884E-5,2018-11-22T08:30:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181122T083518_20181122T091805,,2018-11-22T08:35:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181123T081018_20181123T085732,1.0013786168731754E-4,2018-11-23T08:10:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181123T081518_20181123T085911,9.81707185215593E-5,2018-11-23T08:15:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181124T075518_20181124T084051,9.905658984397826E-5,2018-11-24T07:55:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181125T073518_20181125T082128,1.021240799979645E-4,2018-11-25T07:35:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181126T071518_20181126T080137,9.820066136143391E-5,2018-11-26T07:15:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181126T085518_20181126T094306,,2018-11-26T08:55:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181127T070018_20181127T074408,,2018-11-27T07:00:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181127T084018_20181127T092449,9.072801246358267E-5,2018-11-27T08:40:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181128T082018_20181128T090539,9.615959689526008E-5,2018-11-28T08:20:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181129T080018_20181129T084509,1.0373560993056867E-4,2018-11-29T08:00:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181130T074018_20181130T082522,1.1374724323697149E-4,2018-11-30T07:40:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181201T072018_20181201T080536,,2018-12-01T07:20:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181201T072518_20181201T080958,8.505154429345275E-5,2018-12-01T07:25:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181202T070518_20181202T074934,,2018-12-02T07:05:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181202T084518_20181202T092840,9.001721168731068E-5,2018-12-02T08:45:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181203T082518_20181203T091048,1.0958807037687927E-4,2018-12-03T08:25:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181204T080518_20181204T085140,8.488404567005364E-5,2018-12-04T08:05:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181204T081018_20181204T085236,,2018-12-04T08:10:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181206T072628_20181206T081244,,2018-12-06T07:26:22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181206T073128_20181206T081347,7.173535963112244E-5,2018-12-06T07:31:22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181207T071128_20181207T075604,5.142749494741869E-5,2018-12-07T07:11:23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181207T085128_20181207T093644,7.344699379705681E-5,2018-12-07T08:51:22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181208T083128_20181208T091703,7.605923115685051E-5,2018-12-08T08:31:23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181209T081128_20181209T085651,6.79269895771905E-5,2018-12-09T08:11:22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181209T081628_20181209T085847,,2018-12-09T08:16:23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181210T075128_20181210T083813,6.543020495890533E-5,2018-12-10T07:51:23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181210T075628_20181210T084053,6.921884006900274E-5,2018-12-10T07:56:22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181212T071330_20181212T080329,,2018-12-12T07:13:25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181212T071830_20181212T080440,7.021764599116752E-5,2018-12-12T07:18:25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181212T085830_20181212T095426,,2018-12-12T08:58:25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181213T065830_20181213T074230,,2018-12-13T06:58:25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181213T083830_20181213T093702,8.215792395585164E-5,2018-12-13T08:38:25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181214T081830_20181214T090528,6.908701546031295E-5,2018-12-14T08:18:25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181215T075830_20181215T084517,8.707333885717809E-5,2018-12-15T07:58:24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181215T080330_20181215T084749,,2018-12-15T08:03:24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181216T073830_20181216T082453,,2018-12-16T07:38:25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181216T074330_20181216T082607,1.1790765086688725E-4,2018-12-16T07:43:24,"{""type"":""MultiPoint"",""coordinates"":[]}"
