system:index,date,temperature,.geo
2018_11_22,2018-11-22T00:00:00,306.7774511644625,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_11_23,2018-11-23T00:00:00,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_11_24,2018-11-24T00:00:00,306.7035908992765,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_11_25,2018-11-25T00:00:00,306.72172368266587,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_11_26,2018-11-26T00:00:00,305.73092608668605,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_11_27,2018-11-27T00:00:00,307.24046845630045,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_11_28,2018-11-28T00:00:00,302.41869630034466,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_11_29,2018-11-29T00:00:00,306.283073317535,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_11_30,2018-11-30T00:00:00,304.40783295595827,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_01,2018-12-01T00:00:00,306.21130747190983,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_02,2018-12-02T00:00:00,304.7075548932962,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_03,2018-12-03T00:00:00,301.25363369892636,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_04,2018-12-04T00:00:00,304.2525480029577,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_05,2018-12-05T00:00:00,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_06,2018-12-06T00:00:00,303.620233735381,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_07,2018-12-07T00:00:00,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_08,2018-12-08T00:00:00,304.7611213804079,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_09,2018-12-09T00:00:00,302.9394967516728,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_10,2018-12-10T00:00:00,302.4444334634241,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_11,2018-12-11T00:00:00,303.3128015078118,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_12,2018-12-12T00:00:00,302.5401740920715,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_13,2018-12-13T00:00:00,302.46366612859794,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_14,2018-12-14T00:00:00,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_15,2018-12-15T00:00:00,301.39245143952024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_16,2018-12-16T00:00:00,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_17,2018-12-17T00:00:00,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_18,2018-12-18T00:00:00,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_19,2018-12-19T00:00:00,296.58790585916904,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_20,2018-12-20T00:00:00,300.0142249354109,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_21,2018-12-21T00:00:00,300.9287151937453,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_22,2018-12-22T00:00:00,303.6676971816399,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_23,2018-12-23T00:00:00,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_24,2018-12-24T00:00:00,303.37878734558586,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_25,2018-12-25T00:00:00,303.84169877514967,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_26,2018-12-26T00:00:00,303.1709376894615,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_27,2018-12-27T00:00:00,302.73730853117956,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_28,2018-12-28T00:00:00,301.9259294706908,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_29,2018-12-29T00:00:00,303.4641225719601,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_30,2018-12-30T00:00:00,299.86907311002665,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_31,2018-12-31T00:00:00,304.10959738323083,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_01,2019-01-01T00:00:00,303.9309764439959,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_02,2019-01-02T00:00:00,305.212304702389,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_03,2019-01-03T00:00:00,301.5693672814309,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_04,2019-01-04T00:00:00,303.9076717617552,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_05,2019-01-05T00:00:00,305.4722469351945,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_06,2019-01-06T00:00:00,301.2550641986009,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_07,2019-01-07T00:00:00,305.2086581518278,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_08,2019-01-08T00:00:00,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_09,2019-01-09T00:00:00,305.33835014224485,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_10,2019-01-10T00:00:00,303.31899717540733,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_11,2019-01-11T00:00:00,303.90331383122924,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_12,2019-01-12T00:00:00,304.3379551630341,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_13,2019-01-13T00:00:00,302.3696073540875,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_14,2019-01-14T00:00:00,305.65254072761246,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_15,2019-01-15T00:00:00,301.7926276829195,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_16,2019-01-16T00:00:00,306.066153119299,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_17,2019-01-17T00:00:00,305.54046265814674,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_18,2019-01-18T00:00:00,306.7392275775322,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_19,2019-01-19T00:00:00,305.39859552963793,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_20,2019-01-20T00:00:00,306.0409873175944,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_21,2019-01-21T00:00:00,307.6608190304226,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_22,2019-01-22T00:00:00,304.5107417128138,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_23,2019-01-23T00:00:00,305.46251738295894,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_24,2019-01-24T00:00:00,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_25,2019-01-25T00:00:00,304.3944580877328,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_26,2019-01-26T00:00:00,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_27,2019-01-27T00:00:00,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_28,2019-01-28T00:00:00,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_29,2019-01-29T00:00:00,298.81216684208044,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_30,2019-01-30T00:00:00,302.8351346572734,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_31,2019-01-31T00:00:00,299.5232747958167,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_01,2019-02-01T00:00:00,304.3142538307362,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_02,2019-02-02T00:00:00,303.39453521188915,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_03,2019-02-03T00:00:00,305.087878917873,"{""type"":""MultiPoint"",""coordinates"":[]}"
